"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Вводим прошедшую дату в поле Start Date и проверяем, что система не пускает дальше","0","Проверка блокировки поиска машины на вчерашний день","Final Regression Suite","Mon Mar 30 16:38:46 UTC 2026","skipped","Mon Mar 30 16:38:46 UTC 2026","com.carbooking.gui.tests.BookingDateValidationTest","UI Chrome","com.carbooking.gui.tests.BookingDateValidationTest","testSearchOnPastDate"
"","525","testInvalidBooking","Final Regression Suite","Mon Mar 30 16:38:47 UTC 2026","passed","Mon Mar 30 16:38:47 UTC 2026","com.carbooking.gui.tests.negative.NegativeBookingTest","UI Chrome","com.carbooking.gui.tests.negative.NegativeBookingTest","testInvalidBooking"
"","283","testInvalidSearch","Final Regression Suite","Mon Mar 30 16:39:23 UTC 2026","passed","Mon Mar 30 16:39:24 UTC 2026","com.carbooking.gui.tests.negative.NegativeSearchTest","UI Chrome","com.carbooking.gui.tests.negative.NegativeSearchTest","testInvalidSearch"
"","273","Получение списка категорий автомобилей","Final Regression Suite","Mon Mar 30 16:38:45 UTC 2026","passed","Mon Mar 30 16:38:45 UTC 2026","com.carbooking.api.cars.GetCarCategoriesApiTest","API Suite","com.carbooking.api.cars.GetCarCategoriesApiTest","getCarCategories"
"","10038","bookingCarSuccessfully","Final Regression Suite","Mon Mar 30 16:39:26 UTC 2026","broken","Mon Mar 30 16:39:36 UTC 2026","com.carbooking.gui.tests.positive.BookingTest","UI Chrome","com.carbooking.gui.tests.positive.BookingTest","bookingCarSuccessfully"
"","317","Попытка логина с неверным паролем","Final Regression Suite","Mon Mar 30 16:38:43 UTC 2026","passed","Mon Mar 30 16:38:44 UTC 2026","com.carbooking.api.auth.LoginNegativeApiTest","API Suite","com.carbooking.api.auth.LoginNegativeApiTest","loginWithInvalidPassword"
"","255","Попытка создать бронь без токена авторизации","Final Regression Suite","Mon Mar 30 16:38:44 UTC 2026","passed","Mon Mar 30 16:38:44 UTC 2026","com.carbooking.api.bookings.CreateBookingNegativeApiTest","API Suite","com.carbooking.api.bookings.CreateBookingNegativeApiTest","createBookingWithoutTokenReturns401"
"","2356","firstTestExample","Final Regression Suite","Mon Mar 30 16:38:51 UTC 2026","passed","Mon Mar 30 16:38:54 UTC 2026","com.carbooking.gui.tests.all.FirstTest","UI Firefox","com.carbooking.gui.tests.all.FirstTest","firstTestExample"
"","10036","registrationWithEmptyFields","Final Regression Suite","Mon Mar 30 16:39:00 UTC 2026","broken","Mon Mar 30 16:39:11 UTC 2026","com.carbooking.gui.tests.negative.NegativeRegistrationTest","UI Chrome","com.carbooking.gui.tests.negative.NegativeRegistrationTest","registrationWithEmptyFields"
"","634","openGoogle","Final Regression Suite","Mon Mar 30 16:39:24 UTC 2026","passed","Mon Mar 30 16:39:25 UTC 2026","com.carbooking.gui.tests.OpenGoogleTest","UI Chrome","com.carbooking.gui.tests.OpenGoogleTest","openGoogle"
"","350","Получение списка всех автомобилей","Final Regression Suite","Mon Mar 30 16:38:46 UTC 2026","passed","Mon Mar 30 16:38:46 UTC 2026","com.carbooking.api.cars.GetCarsApiTest","API Suite","com.carbooking.api.cars.GetCarsApiTest","getAllCars"
"","12304","Успешный вход в систему с валидными данными","Final Regression Suite","Mon Mar 30 16:40:41 UTC 2026","broken","Mon Mar 30 16:40:53 UTC 2026","com.carbooking.gui.tests.positive.LoginTest","UI Firefox","com.carbooking.gui.tests.positive.LoginTest","loginWithValidCredentials"
"","10008","registrationWithInvalidEmail","Final Regression Suite","Mon Mar 30 16:39:12 UTC 2026","broken","Mon Mar 30 16:39:22 UTC 2026","com.carbooking.gui.tests.negative.NegativeRegistrationTest","UI Chrome","com.carbooking.gui.tests.negative.NegativeRegistrationTest","registrationWithInvalidEmail"
"","0","setUp","Final Regression Suite","Mon Mar 30 16:38:46 UTC 2026","broken","Mon Mar 30 16:38:46 UTC 2026","com.carbooking.gui.tests.BookingDateValidationTest","UI Chrome","com.carbooking.gui.tests.BookingDateValidationTest","setUp"
"","29","fullWorkflow","Final Regression Suite","Mon Mar 30 16:38:43 UTC 2026","passed","Mon Mar 30 16:38:43 UTC 2026","com.carbooking.gui.tests.all.FullWorkflowTest","UI Chrome","com.carbooking.gui.tests.all.FullWorkflowTest","fullWorkflow"
"","10041","userCanRegisterSuccessfully","Final Regression Suite","Mon Mar 30 16:39:50 UTC 2026","broken","Mon Mar 30 16:40:00 UTC 2026","com.carbooking.gui.tests.positive.RegistrationTest","UI Chrome","com.carbooking.gui.tests.positive.RegistrationTest","userCanRegisterSuccessfully"
"","10039","userCanRegisterSuccessfully","Final Regression Suite","Mon Mar 30 16:40:58 UTC 2026","broken","Mon Mar 30 16:41:08 UTC 2026","com.carbooking.gui.tests.positive.RegistrationTest","UI Firefox","com.carbooking.gui.tests.positive.RegistrationTest","userCanRegisterSuccessfully"
"","10025","registrationWithEmptyFields","Final Regression Suite","Mon Mar 30 16:39:34 UTC 2026","broken","Mon Mar 30 16:39:44 UTC 2026","com.carbooking.gui.tests.negative.NegativeRegistrationTest","UI Firefox","com.carbooking.gui.tests.negative.NegativeRegistrationTest","registrationWithEmptyFields"
"","501","Получение списка отзывов","Final Regression Suite","Mon Mar 30 16:38:46 UTC 2026","passed","Mon Mar 30 16:38:47 UTC 2026","com.carbooking.api.core.GetReviewsApiTest","API Suite","com.carbooking.api.core.GetReviewsApiTest","getAllReviews"
"","888","openGoogle","Final Regression Suite","Mon Mar 30 16:40:16 UTC 2026","passed","Mon Mar 30 16:40:17 UTC 2026","com.carbooking.gui.tests.OpenGoogleTest","UI Firefox","com.carbooking.gui.tests.OpenGoogleTest","openGoogle"
"Вводим вредоносный скрипт в поле ввода и проверяем, что браузер не исполнил код (алерт не появился)","430","Проверка защиты от XSS-инъекций","Final Regression Suite","Mon Mar 30 16:40:04 UTC 2026","passed","Mon Mar 30 16:40:04 UTC 2026","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","UI Chrome","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","testXSSInjection"
"","12367","testInvalidLogin","Final Regression Suite","Mon Mar 30 16:39:17 UTC 2026","broken","Mon Mar 30 16:39:29 UTC 2026","com.carbooking.gui.tests.negative.NegativeLoginTest","UI Firefox","com.carbooking.gui.tests.negative.NegativeLoginTest","testInvalidLogin"
"Тест проверяет, что после навигации URL страницы не содержит паролей или токенов в открытом виде","406","Проверка отсутствия чувствительных данных в URL","Final Regression Suite","Mon Mar 30 16:40:03 UTC 2026","passed","Mon Mar 30 16:40:03 UTC 2026","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","UI Chrome","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","testUrlSecurity"
"","682","firstTestExample","Final Regression Suite","Mon Mar 30 16:38:41 UTC 2026","passed","Mon Mar 30 16:38:42 UTC 2026","com.carbooking.gui.tests.all.FirstTest","UI Chrome","com.carbooking.gui.tests.all.FirstTest","firstTestExample"
"Вводим прошедшую дату в поле Start Date и проверяем, что система не пускает дальше","2419","Проверка блокировки поиска машины на вчерашний день","Final Regression Suite","Mon Mar 30 16:39:04 UTC 2026","passed","Mon Mar 30 16:39:07 UTC 2026","com.carbooking.gui.tests.BookingDateValidationTest","UI Firefox","com.carbooking.gui.tests.BookingDateValidationTest","testSearchOnPastDate"
"Проверяем, что поле ввода пароля имеет атрибут type='password' для скрытия символов","280","Проверка маскирования пароля в DOM","Final Regression Suite","Mon Mar 30 16:40:02 UTC 2026","passed","Mon Mar 30 16:40:02 UTC 2026","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","UI Chrome","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","testPasswordMasking"
"","241","Попытка получить бронирования пользователя без авторизации","Final Regression Suite","Mon Mar 30 16:38:45 UTC 2026","failed","Mon Mar 30 16:38:45 UTC 2026","com.carbooking.api.bookings.GetUserBookingsApiTest","API Suite","com.carbooking.api.bookings.GetUserBookingsApiTest","getMyBookingsWithoutAuth"
"Тест проверяет, что после навигации URL страницы не содержит паролей или токенов в открытом виде","2256","Проверка отсутствия чувствительных данных в URL","Final Regression Suite","Mon Mar 30 16:41:18 UTC 2026","passed","Mon Mar 30 16:41:20 UTC 2026","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","UI Firefox","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","testUrlSecurity"
"","438","API: Успешная авторизация пользователя","Final Regression Suite","Mon Mar 30 16:38:43 UTC 2026","failed","Mon Mar 30 16:38:43 UTC 2026","com.carbooking.api.auth.LoginApiTest","API Suite","com.carbooking.api.auth.LoginApiTest","loginApiSuccess"
"","10558","testInvalidLogin","Final Regression Suite","Mon Mar 30 16:38:48 UTC 2026","broken","Mon Mar 30 16:38:59 UTC 2026","com.carbooking.gui.tests.negative.NegativeLoginTest","UI Chrome","com.carbooking.gui.tests.negative.NegativeLoginTest","testInvalidLogin"
"","2256","testInvalidBooking","Final Regression Suite","Mon Mar 30 16:39:10 UTC 2026","passed","Mon Mar 30 16:39:13 UTC 2026","com.carbooking.gui.tests.negative.NegativeBookingTest","UI Firefox","com.carbooking.gui.tests.negative.NegativeBookingTest","testInvalidBooking"
"Вводим вредоносный скрипт в поле ввода и проверяем, что браузер не исполнил код (алерт не появился)","2302","Проверка защиты от XSS-инъекций","Final Regression Suite","Mon Mar 30 16:41:24 UTC 2026","passed","Mon Mar 30 16:41:26 UTC 2026","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","UI Firefox","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","testXSSInjection"
"","10017","bookingCarSuccessfully","Final Regression Suite","Mon Mar 30 16:40:21 UTC 2026","broken","Mon Mar 30 16:40:31 UTC 2026","com.carbooking.gui.tests.positive.BookingTest","UI Firefox","com.carbooking.gui.tests.positive.BookingTest","bookingCarSuccessfully"
"","2283","homePageLoads","Final Regression Suite","Mon Mar 30 16:40:35 UTC 2026","passed","Mon Mar 30 16:40:37 UTC 2026","com.carbooking.gui.tests.positive.HomePageTest","UI Firefox","com.carbooking.gui.tests.positive.HomePageTest","homePageLoads"
"","10426","Успешный вход в систему с валидными данными","Final Regression Suite","Mon Mar 30 16:39:38 UTC 2026","broken","Mon Mar 30 16:39:49 UTC 2026","com.carbooking.gui.tests.positive.LoginTest","UI Chrome","com.carbooking.gui.tests.positive.LoginTest","loginWithValidCredentials"
"","2380","fullWorkflow","Final Regression Suite","Mon Mar 30 16:38:57 UTC 2026","passed","Mon Mar 30 16:39:00 UTC 2026","com.carbooking.gui.tests.all.FullWorkflowTest","UI Firefox","com.carbooking.gui.tests.all.FullWorkflowTest","fullWorkflow"
"","8739","testInvalidSearch","Final Regression Suite","Mon Mar 30 16:40:03 UTC 2026","passed","Mon Mar 30 16:40:12 UTC 2026","com.carbooking.gui.tests.negative.NegativeSearchTest","UI Firefox","com.carbooking.gui.tests.negative.NegativeSearchTest","testInvalidSearch"
"Проверяем, что поле ввода пароля имеет атрибут type='password' для скрытия символов","2254","Проверка маскирования пароля в DOM","Final Regression Suite","Mon Mar 30 16:41:12 UTC 2026","passed","Mon Mar 30 16:41:14 UTC 2026","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","UI Firefox","com.carbooking.gui.tests.security.NoSensitiveDataInUrlTest","testPasswordMasking"
"","10037","registrationWithInvalidEmail","Final Regression Suite","Mon Mar 30 16:39:48 UTC 2026","broken","Mon Mar 30 16:39:58 UTC 2026","com.carbooking.gui.tests.negative.NegativeRegistrationTest","UI Firefox","com.carbooking.gui.tests.negative.NegativeRegistrationTest","registrationWithInvalidEmail"
"","296","homePageLoads","Final Regression Suite","Mon Mar 30 16:39:37 UTC 2026","passed","Mon Mar 30 16:39:37 UTC 2026","com.carbooking.gui.tests.positive.HomePageTest","UI Chrome","com.carbooking.gui.tests.positive.HomePageTest","homePageLoads"
